topic_id,keywords,processed_text_for_model,all_emotion_scores,dominant_emotion,dominant_score,interpreted_emotion_flavor
96,paranoia,Explore the emotional landscape surrounding a villain character whose motivations include: paranoia,"{'fear': 0.7606012225151062, 'sadness': 0.16920538246631622, 'anger': 0.06120438873767853, 'joy': 0.00549965538084507, 'love': 0.002469778060913086, 'surprise': 0.0010195542126893997}",fear,0.760601223,
97,objective,Explore the emotional landscape surrounding a villain character whose motivations include: objective,"{'joy': 0.4228685200214386, 'sadness': 0.34067049622535706, 'anger': 0.12090654671192169, 'fear': 0.1058233305811882, 'love': 0.008029972203075886, 'surprise': 0.0017011503223329782}",joy,0.42286852,
98,military,Explore the emotional landscape surrounding a villain character whose motivations include: military,"{'sadness': 0.5922936797142029, 'fear': 0.3035683333873749, 'anger': 0.08304741978645325, 'joy': 0.01338331587612629, 'love': 0.006582373753190041, 'surprise': 0.0011248219525441527}",sadness,0.59229368,General Sadness
99,destroy,Explore the emotional landscape surrounding a villain character whose motivations include: destroy,"{'sadness': 0.7616773843765259, 'anger': 0.12607231736183167, 'fear': 0.09833408892154694, 'joy': 0.00989365205168724, 'love': 0.0032638043630868196, 'surprise': 0.0007588391308672726}",sadness,0.761677384,General Sadness
100,possessive,Explore the emotional landscape surrounding a villain character whose motivations include: possessive,"{'anger': 0.9559662938117981, 'fear': 0.020610781386494637, 'love': 0.016262657940387726, 'sadness': 0.005065126344561577, 'joy': 0.0012626542011275887, 'surprise': 0.0008324573864229023}",anger,0.955966294,
101,weaponry,Explore the emotional landscape surrounding a villain character whose motivations include: weaponry,"{'fear': 0.5227731466293335, 'sadness': 0.32800203561782837, 'anger': 0.12395669519901276, 'joy': 0.017326243221759796, 'love': 0.00658500287681818, 'surprise': 0.0013568622525781393}",fear,0.522773147,
102,disguise,Explore the emotional landscape surrounding a villain character whose motivations include: disguise,"{'fear': 0.47862058877944946, 'sadness': 0.38501858711242676, 'anger': 0.10726278275251389, 'joy': 0.02226543240249157, 'love': 0.005548750050365925, 'surprise': 0.0012838891707360744}",fear,0.478620589,
103,loneliness,Explore the emotional landscape surrounding a villain character whose motivations include: loneliness,"{'sadness': 0.9506128430366516, 'fear': 0.034372683614492416, 'anger': 0.009960483759641647, 'love': 0.002592854667454958, 'joy': 0.0019934289157390594, 'surprise': 0.00046784081496298313}",sadness,0.950612843,"Lonely Despair, Isolated Sorrow"
104,beauty,Explore the emotional landscape surrounding a villain character whose motivations include: beauty,"{'sadness': 0.6663906574249268, 'fear': 0.16926318407058716, 'anger': 0.11531764268875122, 'joy': 0.03437504917383194, 'love': 0.01333976536989212, 'surprise': 0.0013136595953255892}",sadness,0.666390657,General Sadness
105,exceptional,Explore the emotional landscape surrounding a villain character whose motivations include: exceptional,"{'joy': 0.9934269189834595, 'surprise': 0.0026498909574002028, 'love': 0.0013847806258127093, 'sadness': 0.001229005865752697, 'fear': 0.000886694120708853, 'anger': 0.0004227855824865401}",joy,0.993426919,
106,specific,Explore the emotional landscape surrounding a villain character whose motivations include: specific,"{'sadness': 0.4877051115036011, 'fear': 0.3135664761066437, 'anger': 0.14638753235340118, 'joy': 0.042908165603876114, 'love': 0.007972595281898975, 'surprise': 0.0014599317219108343}",sadness,0.487705112,General Sadness
107,affection,Explore the emotional landscape surrounding a villain character whose motivations include: affection,"{'love': 0.8098132610321045, 'sadness': 0.09711265563964844, 'anger': 0.04288679361343384, 'fear': 0.03886988386511803, 'joy': 0.009221301414072514, 'surprise': 0.002096083015203476}",love,0.809813261,
108,pessimism,Explore the emotional landscape surrounding a villain character whose motivations include: pessimism,"{'sadness': 0.37474334239959717, 'anger': 0.31603047251701355, 'fear': 0.26276031136512756, 'joy': 0.03778339549899101, 'love': 0.007221131585538387, 'surprise': 0.0014613589737564325}",sadness,0.374743342,General Sadness
109,bullet,Explore the emotional landscape surrounding a villain character whose motivations include: bullet,"{'sadness': 0.4991377592086792, 'fear': 0.3840978443622589, 'anger': 0.09839068353176117, 'joy': 0.01123824343085289, 'love': 0.005942932795733213, 'surprise': 0.00119251967407763}",sadness,0.499137759,General Sadness
110,delusional ,Explore the emotional landscape surrounding a villain character whose motivations include: delusional ,"{'fear': 0.5102764964103699, 'sadness': 0.4564855396747589, 'anger': 0.024604737758636475, 'joy': 0.00528541998937726, 'love': 0.001990982098504901, 'surprise': 0.0013567970599979162}",fear,0.510276496,
111,survive,Explore the emotional landscape surrounding a villain character whose motivations include: survive,"{'sadness': 0.7982128262519836, 'fear': 0.08803404867649078, 'joy': 0.07220344990491867, 'anger': 0.03309379145503044, 'love': 0.00750559801235795, 'surprise': 0.0009502095635980368}",sadness,0.798212826,General Sadness
112,teardrop,Explore the emotional landscape surrounding a villain character whose motivations include: teardrop,"{'sadness': 0.8350645899772644, 'fear': 0.11702080070972443, 'anger': 0.034527529031038284, 'joy': 0.006772504188120365, 'love': 0.005773402750492096, 'surprise': 0.0008411425515078008}",sadness,0.83506459,General Sadness
113,shapeshifting,Explore the emotional landscape surrounding a villain character whose motivations include: shapeshifting,"{'fear': 0.5980300903320312, 'sadness': 0.2752895951271057, 'anger': 0.09598968923091888, 'joy': 0.02223650924861431, 'love': 0.006938834674656391, 'surprise': 0.001515263575129211}",fear,0.59803009,
114,casual,Explore the emotional landscape surrounding a villain character whose motivations include: casual,"{'joy': 0.9781575798988342, 'sadness': 0.006868588738143444, 'anger': 0.006040788255631924, 'fear': 0.005339930299669504, 'love': 0.0032242261804640293, 'surprise': 0.00036877061938866973}",joy,0.97815758,
115,nurse,Explore the emotional landscape surrounding a villain character whose motivations include: nurse,"{'sadness': 0.5111475586891174, 'fear': 0.37713396549224854, 'anger': 0.0898013487458229, 'joy': 0.014180518686771393, 'love': 0.006471376866102219, 'surprise': 0.0012651560828089714}",sadness,0.511147559,General Sadness
116,delaer ,Explore the emotional landscape surrounding a villain character whose motivations include: delaer ,"{'fear': 0.4664565920829773, 'sadness': 0.4159546196460724, 'anger': 0.09466049820184708, 'joy': 0.015082720667123795, 'love': 0.006619342602789402, 'surprise': 0.001226215623319149}",fear,0.466456592,
117,absolute,Explore the emotional landscape surrounding a villain character whose motivations include: absolute,"{'sadness': 0.5786597728729248, 'fear': 0.21884052455425262, 'anger': 0.14573484659194946, 'joy': 0.04466269910335541, 'love': 0.010857654735445976, 'surprise': 0.0012444972526282072}",sadness,0.578659773,General Sadness
118,unresolved,Explore the emotional landscape surrounding a villain character whose motivations include: unresolved,"{'sadness': 0.8268325924873352, 'fear': 0.15262143313884735, 'anger': 0.014357867650687695, 'joy': 0.004244552459567785, 'love': 0.0013310210779309273, 'surprise': 0.0006124802166596055}",sadness,0.826832592,General Sadness
119,issue ,Explore the emotional landscape surrounding a villain character whose motivations include: issue ,"{'sadness': 0.6465550065040588, 'fear': 0.2651955485343933, 'anger': 0.07112044841051102, 'joy': 0.011645005084574223, 'love': 0.004521035123616457, 'surprise': 0.0009630658896639943}",sadness,0.646555007,General Sadness
120,impulsive ,Explore the emotional landscape surrounding a villain character whose motivations include: impulsive ,"{'fear': 0.39447924494743347, 'joy': 0.2874925434589386, 'anger': 0.18834085762500763, 'love': 0.09931973367929459, 'sadness': 0.026205917820334435, 'surprise': 0.004161675926297903}",fear,0.394479245,
121,madness,Explore the emotional landscape surrounding a villain character whose motivations include: madness,"{'sadness': 0.635692298412323, 'fear': 0.268433541059494, 'anger': 0.08406329154968262, 'joy': 0.007980297319591045, 'love': 0.002615216886624694, 'surprise': 0.0012153338175266981}",sadness,0.635692298,General Sadness
122,shark,Explore the emotional landscape surrounding a villain character whose motivations include: shark,"{'sadness': 0.5018987059593201, 'fear': 0.3770469129085541, 'anger': 0.10111220926046371, 'joy': 0.012221199460327625, 'love': 0.006468914914876223, 'surprise': 0.0012520917225629091}",sadness,0.501898706,General Sadness
123,hope,Explore the emotional landscape surrounding a villain character whose motivations include: hope,"{'sadness': 0.649169385433197, 'fear': 0.22126014530658722, 'anger': 0.07901890575885773, 'joy': 0.03895546868443489, 'love': 0.010458404198288918, 'surprise': 0.0011376551119610667}",sadness,0.649169385,General Sadness
124,bureaucrat,Explore the emotional landscape surrounding a villain character whose motivations include: bureaucrat,"{'fear': 0.4802567958831787, 'sadness': 0.35688355565071106, 'anger': 0.14198705554008484, 'joy': 0.013955963775515556, 'love': 0.005609375424683094, 'surprise': 0.0013073203153908253}",fear,0.480256796,
125,underlie ,Explore the emotional landscape surrounding a villain character whose motivations include: underlie ,"{'sadness': 0.5340126156806946, 'fear': 0.31595146656036377, 'anger': 0.12603060901165009, 'joy': 0.016758177429437637, 'love': 0.006026390474289656, 'surprise': 0.0012207726249471307}",sadness,0.534012616,General Sadness
126,incompetence ,Explore the emotional landscape surrounding a villain character whose motivations include: incompetence ,"{'fear': 0.5152288675308228, 'sadness': 0.25791656970977783, 'anger': 0.21747519075870514, 'joy': 0.006586660631000996, 'surprise': 0.001397441141307354, 'love': 0.0013952585868537426}",fear,0.515228868,
127,fail,Explore the emotional landscape surrounding a villain character whose motivations include: fail,"{'sadness': 0.8776327967643738, 'fear': 0.07174726575613022, 'anger': 0.04171287640929222, 'joy': 0.006611011456698179, 'love': 0.00170074962079525, 'surprise': 0.0005952873034402728}",sadness,0.877632797,General Sadness
128,armor,Explore the emotional landscape surrounding a villain character whose motivations include: armor,"{'sadness': 0.6372365355491638, 'fear': 0.2614849805831909, 'anger': 0.07772860676050186, 'joy': 0.015608510933816433, 'love': 0.006859387271106243, 'surprise': 0.001081967493519187}",sadness,0.637236536,General Sadness
129,cruelty,Explore the emotional landscape surrounding a villain character whose motivations include: cruelty,"{'anger': 0.5648811459541321, 'sadness': 0.3522546589374542, 'fear': 0.07123540341854095, 'love': 0.005772797856479883, 'joy': 0.004785080906003714, 'surprise': 0.0010708667105063796}",anger,0.564881146,
130,immunity ,Explore the emotional landscape surrounding a villain character whose motivations include: immunity ,"{'fear': 0.4318649172782898, 'sadness': 0.4169078469276428, 'anger': 0.08366277813911438, 'joy': 0.056575652211904526, 'love': 0.009450537152588367, 'surprise': 0.001538305776193738}",fear,0.431864917,
131,extravagance,Explore the emotional landscape surrounding a villain character whose motivations include: extravagance,"{'sadness': 0.4351535439491272, 'fear': 0.42213431000709534, 'anger': 0.08139564841985703, 'joy': 0.04931982234120369, 'love': 0.010268951766192913, 'surprise': 0.0017277126898989081}",sadness,0.435153544,"Feigned Sadness, Manipulative Pity Play"
132,heroic,Explore the emotional landscape surrounding a villain character whose motivations include: heroic,"{'joy': 0.9825954437255859, 'love': 0.009999429807066917, 'sadness': 0.003574813948944211, 'anger': 0.0021958008874207735, 'fear': 0.0013025947846472263, 'surprise': 0.00033178681042045355}",joy,0.982595444,
133,trauma ,Explore the emotional landscape surrounding a villain character whose motivations include: trauma ,"{'sadness': 0.8670350909233093, 'fear': 0.1071014553308487, 'anger': 0.0184380691498518, 'joy': 0.00446104584261775, 'love': 0.0022298581898212433, 'surprise': 0.0007344287005253136}",sadness,0.867035091,"Haunting Sorrow, Past Trauma Sadness"
134,stress ,Explore the emotional landscape surrounding a villain character whose motivations include: stress ,"{'sadness': 0.7776962518692017, 'fear': 0.137512668967247, 'anger': 0.07121337950229645, 'joy': 0.009559610858559608, 'love': 0.00321875954978168, 'surprise': 0.0007993473554961383}",sadness,0.777696252,"Haunting Sorrow, Past Trauma Sadness"
135,earn ,Explore the emotional landscape surrounding a villain character whose motivations include: earn ,"{'sadness': 0.7255159020423889, 'anger': 0.15387912094593048, 'fear': 0.08243732154369354, 'joy': 0.032277610152959824, 'love': 0.0049277241341769695, 'surprise': 0.0009623717633076012}",sadness,0.725515902,General Sadness
136,malfunction,Explore the emotional landscape surrounding a villain character whose motivations include: malfunction,"{'sadness': 0.8019188642501831, 'fear': 0.176356703042984, 'anger': 0.016160275787115097, 'joy': 0.00377913611009717, 'love': 0.0009830689523369074, 'surprise': 0.00080198107752949}",sadness,0.801918864,General Sadness
137,hallucination ,Explore the emotional landscape surrounding a villain character whose motivations include: hallucination ,"{'fear': 0.9877961874008179, 'sadness': 0.0071090091951191425, 'anger': 0.0018252996960654855, 'joy': 0.00151682214345783, 'surprise': 0.001431262237019837, 'love': 0.0003213999734725803}",fear,0.987796187,
138,figure ,Explore the emotional landscape surrounding a villain character whose motivations include: figure ,"{'sadness': 0.5001958608627319, 'fear': 0.38496243953704834, 'anger': 0.08489805459976196, 'joy': 0.0223875530064106, 'love': 0.006360434927046299, 'surprise': 0.0011956067755818367}",sadness,0.500195861,General Sadness
139,stalker ,Explore the emotional landscape surrounding a villain character whose motivations include: stalker ,"{'fear': 0.6605411171913147, 'sadness': 0.22874516248703003, 'anger': 0.09652092307806015, 'joy': 0.007673954125493765, 'love': 0.005382887087762356, 'surprise': 0.0011359212221577764}",fear,0.660541117,
140,machine,Explore the emotional landscape surrounding a villain character whose motivations include: machine,"{'sadness': 0.5662591457366943, 'fear': 0.3091614842414856, 'anger': 0.10458088666200638, 'joy': 0.013372334651648998, 'love': 0.005465642549097538, 'surprise': 0.001160584855824709}",sadness,0.566259146,General Sadness
141,internal ,Explore the emotional landscape surrounding a villain character whose motivations include: internal ,"{'sadness': 0.6568074226379395, 'fear': 0.25066614151000977, 'anger': 0.07420370727777481, 'joy': 0.011923830024898052, 'love': 0.005356980487704277, 'surprise': 0.001041892683133483}",sadness,0.656807423,General Sadness
142,noble,Explore the emotional landscape surrounding a villain character whose motivations include: noble,"{'joy': 0.8108799457550049, 'anger': 0.0777268186211586, 'sadness': 0.0535823218524456, 'love': 0.04284672439098358, 'fear': 0.014088797383010387, 'surprise': 0.0008754136506468058}",joy,0.810879946,
143,expressionless,Explore the emotional landscape surrounding a villain character whose motivations include: expressionless,"{'sadness': 0.6108342409133911, 'fear': 0.18965503573417664, 'anger': 0.18265853822231293, 'joy': 0.013650757260620594, 'love': 0.0019932673312723637, 'surprise': 0.0012081501772627234}",sadness,0.610834241,General Sadness
144,obtain ,Explore the emotional landscape surrounding a villain character whose motivations include: obtain ,"{'sadness': 0.5124163627624512, 'fear': 0.3032226264476776, 'anger': 0.13844023644924164, 'joy': 0.038010429590940475, 'love': 0.006548999808728695, 'surprise': 0.001361316186375916}",sadness,0.512416363,General Sadness
145,calmness ,Explore the emotional landscape surrounding a villain character whose motivations include: calmness ,"{'joy': 0.8907222747802734, 'fear': 0.044251520186662674, 'sadness': 0.04214100539684296, 'anger': 0.018089884892106056, 'love': 0.003959426190704107, 'surprise': 0.0008358580525964499}",joy,0.890722275,
146,switch,Explore the emotional landscape surrounding a villain character whose motivations include: switch,"{'sadness': 0.45147404074668884, 'fear': 0.4158800542354584, 'anger': 0.10812895745038986, 'joy': 0.01750287227332592, 'love': 0.005803870037198067, 'surprise': 0.001210230402648449}",sadness,0.451474041,"Feigned Sadness, Manipulative Pity Play"
147,work,Explore the emotional landscape surrounding a villain character whose motivations include: work,"{'sadness': 0.6481274962425232, 'fear': 0.20290589332580566, 'anger': 0.11981438100337982, 'joy': 0.02174883894622326, 'love': 0.006330091971904039, 'surprise': 0.0010732361115515232}",sadness,0.648127496,General Sadness
148,influential,Explore the emotional landscape surrounding a villain character whose motivations include: influential,"{'joy': 0.9325087070465088, 'sadness': 0.02571488730609417, 'anger': 0.02481353096663952, 'fear': 0.011893744580447674, 'love': 0.004236051347106695, 'surprise': 0.0008332132128998637}",joy,0.932508707,
149,fire ,Explore the emotional landscape surrounding a villain character whose motivations include: fire ,"{'sadness': 0.4643291234970093, 'fear': 0.3658815622329712, 'anger': 0.1479259580373764, 'joy': 0.013215973041951656, 'love': 0.0073930355720222, 'surprise': 0.0012544497149065137}",sadness,0.464329123,General Sadness
150,famous ,Explore the emotional landscape surrounding a villain character whose motivations include: famous ,"{'joy': 0.5991594791412354, 'sadness': 0.29264912009239197, 'anger': 0.061327897012233734, 'fear': 0.03402175009250641, 'love': 0.010707377456128597, 'surprise': 0.0021343068219721317}",joy,0.599159479,
151,resent ,Explore the emotional landscape surrounding a villain character whose motivations include: resent ,"{'anger': 0.9927316308021545, 'sadness': 0.004718891344964504, 'fear': 0.0014289459213614464, 'joy': 0.0005500562256202102, 'love': 0.0004487413680180907, 'surprise': 0.0001216267846757546}",anger,0.992731631,
152,contemplate ,Explore the emotional landscape surrounding a villain character whose motivations include: contemplate ,"{'fear': 0.38996604084968567, 'sadness': 0.3541688919067383, 'joy': 0.13516239821910858, 'anger': 0.1068287268280983, 'love': 0.012278634123504162, 'surprise': 0.0015952454414218664}",fear,0.389966041,
153,abuse ,Explore the emotional landscape surrounding a villain character whose motivations include: abuse ,"{'sadness': 0.9124669432640076, 'fear': 0.06356838345527649, 'anger': 0.019757770001888275, 'joy': 0.0020331055857241154, 'love': 0.0015961674507707357, 'surprise': 0.0005775581812486053}",sadness,0.912466943,General Sadness
154,flattery ,Explore the emotional landscape surrounding a villain character whose motivations include: flattery ,"{'anger': 0.40745094418525696, 'sadness': 0.328424334526062, 'fear': 0.1148204654455185, 'joy': 0.11250988394021988, 'love': 0.03504413738846779, 'surprise': 0.0017502839909866452}",anger,0.407450944,
155,tragic,Explore the emotional landscape surrounding a villain character whose motivations include: tragic,"{'sadness': 0.9987261891365051, 'anger': 0.0003773836069740355, 'joy': 0.0002781797666102648, 'fear': 0.00026138301473110914, 'love': 0.0002503289724700153, 'surprise': 0.00010644167196005583}",sadness,0.998726189,"Tragic Resignation, World-Weary Sadness"
156,fond,Explore the emotional landscape surrounding a villain character whose motivations include: fond,"{'love': 0.983199954032898, 'anger': 0.007207956630736589, 'sadness': 0.00436349306255579, 'fear': 0.002178772119805217, 'joy': 0.0020049915183335543, 'surprise': 0.0010447803651914}",love,0.983199954,
157,solve ,Explore the emotional landscape surrounding a villain character whose motivations include: solve ,"{'sadness': 0.6396247148513794, 'fear': 0.22438399493694305, 'anger': 0.10076511651277542, 'joy': 0.027594663202762604, 'love': 0.006480080075562, 'surprise': 0.0011513831559568644}",sadness,0.639624715,General Sadness
158,specter,Explore the emotional landscape surrounding a villain character whose motivations include: specter,"{'fear': 0.5044815540313721, 'sadness': 0.3753470778465271, 'anger': 0.06998002529144287, 'joy': 0.0368187353014946, 'love': 0.011573627591133118, 'surprise': 0.0017990046180784702}",fear,0.504481554,
159,psychopath,Explore the emotional landscape surrounding a villain character whose motivations include: psychopath,"{'sadness': 0.5647421479225159, 'fear': 0.2946292757987976, 'anger': 0.1287902146577835, 'joy': 0.007371556479483843, 'love': 0.002956034615635872, 'surprise': 0.00151073036249727}",sadness,0.564742148,General Sadness
160,worker,Explore the emotional landscape surrounding a villain character whose motivations include: worker,"{'sadness': 0.5376634001731873, 'fear': 0.3423861265182495, 'anger': 0.10062225908041, 'joy': 0.012890126556158066, 'love': 0.005238422658294439, 'surprise': 0.0011996811954304576}",sadness,0.5376634,General Sadness
161,massacre,Explore the emotional landscape surrounding a villain character whose motivations include: massacre,"{'sadness': 0.5130940079689026, 'fear': 0.36309269070625305, 'anger': 0.11515650153160095, 'joy': 0.005050084553658962, 'love': 0.0024220647756010294, 'surprise': 0.0011846519773826003}",sadness,0.513094008,General Sadness
162,bleeding,Explore the emotional landscape surrounding a villain character whose motivations include: bleeding,"{'sadness': 0.8151516914367676, 'fear': 0.14674369990825653, 'anger': 0.0325273722410202, 'joy': 0.0027968180365860462, 'love': 0.002026870148256421, 'surprise': 0.0007535609765909612}",sadness,0.815151691,General Sadness
163,strongly,Explore the emotional landscape surrounding a villain character whose motivations include: strongly,"{'sadness': 0.6170353889465332, 'fear': 0.24931326508522034, 'anger': 0.10370728373527527, 'joy': 0.018559079617261887, 'love': 0.010275643318891525, 'surprise': 0.00110929599031806}",sadness,0.617035389,General Sadness
164,regenerative,Explore the emotional landscape surrounding a villain character whose motivations include: regenerative,"{'joy': 0.439626544713974, 'sadness': 0.4372032880783081, 'fear': 0.0744476318359375, 'anger': 0.038651660084724426, 'love': 0.008791867643594742, 'surprise': 0.0012789968168362975}",joy,0.439626545,
165,frail,Explore the emotional landscape surrounding a villain character whose motivations include: frail,"{'sadness': 0.7041881084442139, 'fear': 0.2871866226196289, 'anger': 0.0033792194444686174, 'love': 0.002055137185379863, 'joy': 0.002029344206675887, 'surprise': 0.0011615508701652288}",sadness,0.704188108,General Sadness
166,good,Explore the emotional landscape surrounding a villain character whose motivations include: good,"{'sadness': 0.4766349196434021, 'joy': 0.42678263783454895, 'anger': 0.05504554882645607, 'fear': 0.02507605403661728, 'love': 0.01547357626259327, 'surprise': 0.000987142906524241}",sadness,0.47663492,"Feigned Sadness, Manipulative Pity Play"
167,authority ,Explore the emotional landscape surrounding a villain character whose motivations include: authority ,"{'sadness': 0.46544820070266724, 'fear': 0.3151302635669708, 'anger': 0.15702097117900848, 'joy': 0.05322655662894249, 'love': 0.0077406978234648705, 'surprise': 0.0014334358274936676}",sadness,0.465448201,General Sadness
168,immortality,Explore the emotional landscape surrounding a villain character whose motivations include: immortality,"{'sadness': 0.5776431560516357, 'fear': 0.16993902623653412, 'joy': 0.1307699829339981, 'anger': 0.10399248450994492, 'love': 0.01597881130874157, 'surprise': 0.0016765318578109145}",sadness,0.577643156,General Sadness
169,inclined,Explore the emotional landscape surrounding a villain character whose motivations include: inclined,"{'fear': 0.3738606870174408, 'sadness': 0.25010189414024353, 'anger': 0.19418372213840485, 'joy': 0.1437135487794876, 'love': 0.03590583801269531, 'surprise': 0.002234277781099081}",fear,0.373860687,
170,disagreement ,Explore the emotional landscape surrounding a villain character whose motivations include: disagreement ,"{'anger': 0.9372239708900452, 'fear': 0.038625165820121765, 'sadness': 0.021205905824899673, 'joy': 0.0016596822533756495, 'love': 0.0009498813305981457, 'surprise': 0.0003354375367052853}",anger,0.937223971,
171,cover ,Explore the emotional landscape surrounding a villain character whose motivations include: cover ,"{'sadness': 0.6645945906639099, 'fear': 0.221257284283638, 'anger': 0.08913552016019821, 'joy': 0.017320256680250168, 'love': 0.006685313768684864, 'surprise': 0.0010070169810205698}",sadness,0.664594591,General Sadness
172,flattery,Explore the emotional landscape surrounding a villain character whose motivations include: flattery,"{'anger': 0.40745094418525696, 'sadness': 0.328424334526062, 'fear': 0.1148204654455185, 'joy': 0.11250988394021988, 'love': 0.03504413738846779, 'surprise': 0.0017502839909866452}",anger,0.407450944,
173,guilty,Explore the emotional landscape surrounding a villain character whose motivations include: guilty,"{'sadness': 0.9401018619537354, 'fear': 0.03120226226747036, 'anger': 0.02357318066060543, 'joy': 0.003245116211473942, 'love': 0.0014651231467723846, 'surprise': 0.00041260701254941523}",sadness,0.940101862,General Sadness
174,fulfill ,Explore the emotional landscape surrounding a villain character whose motivations include: fulfill ,"{'sadness': 0.7008747458457947, 'fear': 0.1382608562707901, 'anger': 0.08781926333904266, 'joy': 0.06258054077625275, 'love': 0.00937845278531313, 'surprise': 0.0010860718321055174}",sadness,0.700874746,General Sadness
175,strong,Explore the emotional landscape surrounding a villain character whose motivations include: strong,"{'joy': 0.8327203989028931, 'sadness': 0.08527690172195435, 'fear': 0.03209308907389641, 'anger': 0.024755116552114487, 'love': 0.02431490458548069, 'surprise': 0.0008395928889513016}",joy,0.832720399,
176,dislike,Explore the emotional landscape surrounding a villain character whose motivations include: dislike,"{'sadness': 0.7658585906028748, 'anger': 0.17528414726257324, 'fear': 0.046289145946502686, 'love': 0.00817263312637806, 'joy': 0.0035511457826942205, 'surprise': 0.0008443325641565025}",sadness,0.765858591,General Sadness
177,revive,Explore the emotional landscape surrounding a villain character whose motivations include: revive,"{'sadness': 0.7940440773963928, 'fear': 0.09792323410511017, 'joy': 0.0809996947646141, 'anger': 0.019418977200984955, 'love': 0.006670477334409952, 'surprise': 0.0009435546817258}",sadness,0.794044077,General Sadness
178,amuse,Explore the emotional landscape surrounding a villain character whose motivations include: amuse,"{'sadness': 0.6978692412376404, 'anger': 0.1371004283428192, 'fear': 0.09148621559143066, 'joy': 0.06017763540148735, 'love': 0.012393087148666382, 'surprise': 0.0009734019986353815}",sadness,0.697869241,General Sadness
179,sacrifice ,Explore the emotional landscape surrounding a villain character whose motivations include: sacrifice ,"{'sadness': 0.865325927734375, 'anger': 0.06920021027326584, 'fear': 0.03397121652960777, 'joy': 0.02069971151649952, 'love': 0.010176373645663261, 'surprise': 0.000626648950856179}",sadness,0.865325928,"Tragic Resignation, World-Weary Sadness"
180,anticipate ,Explore the emotional landscape surrounding a villain character whose motivations include: anticipate ,"{'sadness': 0.6764357686042786, 'fear': 0.2176388055086136, 'anger': 0.06254809349775314, 'joy': 0.03532835468649864, 'love': 0.007023288868367672, 'surprise': 0.001025639707222581}",sadness,0.676435769,General Sadness
181,potential,Explore the emotional landscape surrounding a villain character whose motivations include: potential,"{'sadness': 0.5237866044044495, 'fear': 0.3022383749485016, 'anger': 0.11379768699407578, 'joy': 0.050094373524188995, 'love': 0.008764859288930893, 'surprise': 0.001318112714216113}",sadness,0.523786604,General Sadness
182,count,Explore the emotional landscape surrounding a villain character whose motivations include: count,"{'sadness': 0.5096561908721924, 'fear': 0.36815527081489563, 'anger': 0.09841664135456085, 'joy': 0.017145251855254173, 'love': 0.005401729606091976, 'surprise': 0.0012248825514689088}",sadness,0.509656191,General Sadness
183,lean ,Explore the emotional landscape surrounding a villain character whose motivations include: lean ,"{'sadness': 0.6028259992599487, 'fear': 0.18436621129512787, 'anger': 0.16285450756549835, 'joy': 0.0331236757338047, 'love': 0.015672311186790466, 'surprise': 0.0011572266230359674}",sadness,0.602825999,General Sadness
184,vizier ,Explore the emotional landscape surrounding a villain character whose motivations include: vizier ,"{'fear': 0.6250488758087158, 'sadness': 0.2219521701335907, 'anger': 0.12713465094566345, 'joy': 0.01864231564104557, 'love': 0.005824926774948835, 'surprise': 0.001397024723701179}",fear,0.625048876,
185,grand ,Explore the emotional landscape surrounding a villain character whose motivations include: grand ,"{'sadness': 0.4353415369987488, 'joy': 0.347268670797348, 'fear': 0.11330857127904892, 'anger': 0.09106390923261642, 'love': 0.011133415624499321, 'surprise': 0.0018839495023712516}",sadness,0.435341537,General Sadness
186,manipulation,Explore the emotional landscape surrounding a villain character whose motivations include: manipulation,"{'fear': 0.5448327660560608, 'sadness': 0.24225455522537231, 'anger': 0.1994529664516449, 'joy': 0.00788841675966978, 'love': 0.004169612191617489, 'surprise': 0.0014016932109370828}",fear,0.544832766,
187,terrorist ,Explore the emotional landscape surrounding a villain character whose motivations include: terrorist ,"{'fear': 0.6270912289619446, 'sadness': 0.19496409595012665, 'anger': 0.1631719321012497, 'joy': 0.010225190781056881, 'love': 0.003433107165619731, 'surprise': 0.0011144359596073627}",fear,0.627091229,
188,humanity ,Explore the emotional landscape surrounding a villain character whose motivations include: humanity ,"{'sadness': 0.5674821138381958, 'fear': 0.24483145773410797, 'anger': 0.15132546424865723, 'joy': 0.026254868134856224, 'love': 0.008770674467086792, 'surprise': 0.0013354397378861904}",sadness,0.567482114,"Feigned Sadness, Manipulative Pity Play"
189,die,Explore the emotional landscape surrounding a villain character whose motivations include: die,"{'sadness': 0.8655896186828613, 'fear': 0.06976921111345291, 'anger': 0.05567369610071182, 'joy': 0.0058959550224244595, 'love': 0.0024739671498537064, 'surprise': 0.0005975330714136362}",sadness,0.865589619,General Sadness
190,nature,Explore the emotional landscape surrounding a villain character whose motivations include: nature,"{'sadness': 0.598308801651001, 'fear': 0.2298484891653061, 'anger': 0.14375711977481842, 'joy': 0.01912696100771427, 'love': 0.007826648652553558, 'surprise': 0.0011320135090500116}",sadness,0.598308802,"Feigned Sadness, Manipulative Pity Play"
191,quick ,Explore the emotional landscape surrounding a villain character whose motivations include: quick ,"{'joy': 0.5701566338539124, 'sadness': 0.17356275022029877, 'fear': 0.13302220404148102, 'anger': 0.11417137086391449, 'love': 0.007520951330661774, 'surprise': 0.0015661022625863552}",joy,0.570156634,
